External Id,Name,Family,Description
XR_320_XRAY_TUBE,XR-320 X-Ray Tube,X-Ray Parts,Replacement rotating anode x-ray tube compatible with fixed and mobile radiography systems.
DR_DETECTOR_14X17,DR Flat Panel Detector 14x17,X-Ray Parts,Wireless digital radiography detector
UNIVERSAL_COLLIMATOR_ASSEMBLY,Universal Collimator Assembly,X-Ray Parts,Multi-leaf collimator with pediatric and adult filtration options.
CEILING_TUBE_SUSPENSION_RAIL_KIT,Ceiling Tube Suspension Rail Kit,X-Ray Infrastructure,Overhead tube suspension rails and hardware for room install.
CT_XRAY_TUBE_XT_700,CT X-Ray Tube XT-700,CT Parts,High heat-capacity CT tube for multi-slice scanners.
CT_DETECTOR_MODULE_DS_128,CT Detector Module DS-128,CT Parts,128-row detector module assembly for MDCT systems.
CARDIAC_ECG_TRIGGER_MODULE,Cardiac ECG Trigger Module,CT Accessories,Physio gating module for prospective ECG-triggered CT.
DUAL_ENERGY_CALIBRATION_PHANTOM,Dual-Energy Calibration Phantom,CT QA,Water/iodine phantom for dual-energy CT calibration and QA.
MRI_RF_COIL_HEAD_NECK_20CH,MRI Head/Neck 20-Ch RF Coil,MRI Coils,20-channel receive-only RF coil for neuro imaging.
MRI_RF_COIL_SPINE_24CH,MRI Spine 24-Ch RF Coil,MRI Coils,Integrated spine array for supine imaging workflows.
GRADIENT_AMPLIFIER_GA_45,Gradient Amplifier GA-45,MRI Parts,Replacement gradient amplifier with improved slew rate.
SAR_MONITORING_UPGRADE_KEY,SAR Monitoring Upgrade Key,MRI Software,Software add-on for advanced SAR monitoring & reporting.
PET_DETECTOR_BLOCK_PB_64,PET Detector Block PB-64,PET Parts,64-channel LYSO detector block for PET gantry modules.
SPECT_NAI_TL_CRYSTAL_PACK,SPECT NaI(Tl) Crystal Pack,SPECT Parts,Replacement sodium iodide crystal set for SPECT heads.
MULTI_HOLE_COLLIMATOR_SET,Multi-Hole Collimator Set,SPECT Accessories,LEHR/LEGP collimators for general SPECT imaging.
PET_SPECT_CALIBRATION_PHANTOM,PET/SPECT Calibration Phantom,Nuclear Medicine QA,Uniform cylinder phantom for quantitative QC.
US_LINEAR_PROBE_L12_5,Ultrasound Linear Probe L12-5,Ultrasound Probes,High-frequency linear array for vascular and MSK exams.
US_CARDIAC_PROBE_P5_1,Ultrasound Cardiac Probe P5-1,Ultrasound Probes,Phased-array transducer for adult cardiac imaging.
GEL_WARMER_GW_2,Gel Warmer GW-2,Ultrasound Accessories,Two-bottle ultrasound gel warmer
PACS_GPU_UPGRADE,PACS Workstation GPU Upgrade,Imaging IT,Add-on GPU kit certified for advanced visualization workloads.
IMAGING_STORAGE_EXPANSION_50TB,Imaging Storage Expansion 50TB,Imaging IT,SAN/NAS expansion for archive tier (50 TB usable).
EPR_HL7_INTERFACE_LICENSE,EPR HL7 Interface License,Healthcare IT,Add-on license enabling inbound/outbound HL7 feeds.
LEAD_SHIELDING_PANEL_SET,Lead Shielding Panel Set,Radiation Protection,Mobile lead glass panels for cath/interventional suites.
CONTRAST_POWER_INJECTOR,Contrast Power Injector,Injector Systems,Dual-syringe high-pressure injector with table mount.
MRI_CRYOGEN_LIQUID_HELIUM_100L,MRI Cryogen – Liquid Helium (100 L),Consumables,Liquid helium supply for MRI magnets (hospital-grade dewar).
MRI_CRYOGEN_LIQUID_NITROGEN_50L,MRI Cryogen – Liquid Nitrogen (50 L),Consumables,Liquid nitrogen for ancillary cooling/handling where applicable.
CT_CONTRAST_SYRINGE_DUAL_200ML,CT Contrast Syringe (Dual-Head 200 ml),Contrast Media Disposables,Contrast Media Disposables
CT_SALINE_FLUSH_500ML,CT Saline Flush (500 ml),Contrast Media Disposables,Sterile saline flush bag for CT injector.
XRAY_DETECTOR_WIPES_100PK,X-ray Detector Cleaning Wipes (100-pack),Cleaning,Non-abrasive wipes for flat-panel detectors and housings.
XRAY_GANTRY_FILTER_SET,X-ray Gantry Air Filter Set,Consumables,Replacement intake/HEPA filters for gantry cabinets.
US_ULTRASOUND_GEL_5L,Ultrasound Gel (5 L Canister),Consumables,Multi-purpose coupling gel; dispenser-ready.
PET_SYRINGE_SHIELD_DISPOSABLE_10PK,PET Syringe Shield – Disposable (10-pack),Nuclear Medicine Consumables,Single-use PET syringe radiation shields.
PET_COLD_PACK_KIT,PET Cold Pack Kit,Nuclear Medicine Consumables,Cold pack kit for dose transport/temperature control.
MRI_ECG_LEADS_DISPOSABLE_25PK,MRI-Safe ECG Leads – Disposable (25-pack),Patient Prep,Non-ferromagnetic patient ECG leads for MRI.
CT_HEADREST_COVERS_200PK,CT Headrest Covers (200-pack),Patient Prep,Disposable headrest covers sized for CT tables.
XRAY_GRID_SLEEVES_50PK,X-ray Grid Protection Sleeves (50-pack),Consumables,Protective sleeves for anti-scatter grids.
IT_LABEL_ROLLS_ASSET_2IN,"IT Label Rolls – Asset Tracking (2"")",IT Ops,Thermal transfer label rolls for equipment tracking.
WORKSTATION_WIPES_ESD_100PK,ESD-Safe Workstation Wipes (100-pack),Cleaning,Lint-free wipes for PACS/IT workstations and monitors.
CT_XRAY_TUBE_XT_900,CT X-Ray Tube XT-900,CT Parts,Ultra-high capacity CT tube for advanced cardiac and trauma imaging.
CT_DETECTOR_MODULE_DS_192,CT Detector Module DS-192,CT Parts,192-row detector module for wide-coverage CT systems.
MRI_RF_COIL_BODY_32CH,MRI Body 32-Ch RF Coil,MRI Coils,32-channel body coil for abdominal and thoracic imaging.
MRI_RF_COIL_KNEE_16CH,MRI Knee 16-Ch RF Coil,MRI Coils,Dedicated knee coil for MSK imaging applications.
MRI_RF_COIL_CARDIAC_18CH,MRI Cardiac 18-Ch RF Coil,MRI Coils,Specialized cardiac coil for functional heart imaging.
GRADIENT_AMPLIFIER_GA_80,Gradient Amplifier GA-80,MRI Parts,High-performance gradient amplifier for 3T systems.
HELIUM_COMPRESSOR_HC_10,Helium Compressor HC-10,MRI Parts,Cryogenic compressor for MRI magnet cooling system.
US_CONVEX_PROBE_C5_1,Ultrasound Convex Probe C5-1,Ultrasound Probes,Curved array transducer for abdominal imaging.
US_ENDOCAVITY_PROBE_EC9_5,Ultrasound Endocavity Probe EC9-5,Ultrasound Probes,Endovaginal/endorectal probe for pelvic imaging.
US_PEDIATRIC_PROBE_L15_7,Ultrasound Pediatric Probe L15-7,Ultrasound Probes,High-frequency linear probe for pediatric applications.
XRAY_TUBE_XR_450,X-Ray Tube XR-450,X-Ray Parts,High-power rotating anode tube for interventional systems.
DR_DETECTOR_17X17,DR Flat Panel Detector 17x17,X-Ray Parts,Large format wireless detector for chest imaging.
FLUOROSCOPY_IMAGE_INTENSIFIER,Fluoroscopy Image Intensifier,X-Ray Parts,9-inch image intensifier for real-time imaging.
PET_DETECTOR_BLOCK_PB_128,PET Detector Block PB-128,PET Parts,128-channel detector block with improved sensitivity.
SPECT_CZT_DETECTOR_MODULE,SPECT CZT Detector Module,SPECT Parts,Cadmium zinc telluride detector for cardiac SPECT.
CONTRAST_INJECTOR_DUAL_HEAD,Contrast Injector Dual-Head,Injector Systems,High-pressure dual-syringe injector for CT/MR.
PACS_WORKSTATION_DIAGNOSTIC,PACS Diagnostic Workstation,Imaging IT,High-resolution diagnostic reading workstation.
VNA_STORAGE_MODULE_100TB,VNA Storage Module 100TB,Imaging IT,Vendor-neutral archive storage expansion module.
MRI_TABLE_POSITIONING_MOTOR,MRI Table Positioning Motor,MRI Parts,Replacement motor assembly for MRI patient table positioning system.
MRI_TABLE_CARBON_FIBER_TOP,MRI Table Carbon Fiber Top,MRI Parts,Replacement carbon fiber table top for MRI patient positioning systems.
MRI_COIL_CABLE_20CH,20-Channel MRI Coil Cable,MRI Parts,High-density coil cable for 20-channel MRI head and spine coils.
MRI_COIL_PREAMP_MODULE,MRI Coil Preamplifier Module,MRI Parts,RF preamplifier module for MRI receive coils.
MRI_COIL_CONNECTOR_KIT,MRI Coil Connector Kit,MRI Parts,Connection hardware kit for MRI RF coils including safety circuits.
CT_TABLE_DRIVE_BELT,CT Table Drive Belt,CT Parts,Replacement drive belt for CT patient table positioning system.
CT_TABLE_BRAKE_PAD_SET,CT Table Brake Pad Set,CT Parts,Brake pad assembly for CT patient table safety systems.
CT_DETECTOR_CALIBRATION_SOURCE,CT Detector Calibration Source,CT Parts,Reference source for CT detector array calibration and QA.
CT_DETECTOR_SCINTILLATOR_ARRAY,CT Detector Scintillator Array,CT Parts,Replacement scintillator crystal array for CT detector modules.
CT_COOLING_PUMP_ASSEMBLY,CT Cooling Pump Assembly,CT Parts,Coolant pump for CT gantry thermal management system.
CT_COOLANT_FILTER_KIT,CT Coolant Filter Kit,CT Parts,Replacement filter set for CT gantry cooling system maintenance.
PET_TABLE_EXTENSION_MODULE,PET/CT Table Extension Module,PET Parts,Table extension for whole-body PET/CT imaging protocols.
PET_DETECTOR_CRYSTAL_MODULE,PET Detector Crystal Module,PET Parts,LYSO crystal module for PET detector ring replacement.
PET_COINCIDENCE_PROCESSOR,PET Coincidence Processor,PET Parts,Digital signal processing module for PET coincidence detection.
US_LINEAR_PROBE_CRYSTAL_ARRAY,Linear Probe Crystal Array,Ultrasound Parts,Replacement piezoelectric crystal array for linear ultrasound probes.
US_PHASED_PROBE_CRYSTAL_ARRAY,Phased Probe Crystal Array,Ultrasound Parts,Crystal array assembly for cardiac phased array ultrasound probes.
